Epoch: 1
Loss: 2.306225299835205, Accuracy: 0.018333333333333333%
Loss: 2.2928874492645264, Accuracy: 0.035%
Loss: 2.3076066970825195, Accuracy: 0.043333333333333335%
Loss: 2.2995073795318604, Accuracy: 0.056666666666666664%
Loss: 2.291341543197632, Accuracy: 0.075%
Loss: 2.296786308288574, Accuracy: 0.09%
Loss: 2.2687158584594727, Accuracy: 0.10666666666666667%
Loss: 2.2906651496887207, Accuracy: 0.12333333333333334%
Loss: 2.2814130783081055, Accuracy: 0.14333333333333334%
Loss: 2.2818219661712646, Accuracy: 0.16666666666666666%
Loss: 2.2548835277557373, Accuracy: 0.19%
Loss: 2.2483112812042236, Accuracy: 0.215%
Loss: 2.254892110824585, Accuracy: 0.24166666666666667%
Loss: 2.2674813270568848, Accuracy: 0.265%
Loss: 2.2403011322021484, Accuracy: 0.28833333333333333%
Loss: 2.236358404159546, Accuracy: 0.31833333333333336%
Loss: 2.2580339908599854, Accuracy: 0.3433333333333333%
Loss: 2.2273924350738525, Accuracy: 0.37666666666666665%
Loss: 2.217888593673706, Accuracy: 0.41333333333333333%
Loss: 2.2429327964782715, Accuracy: 0.435%
Loss: 2.2325425148010254, Accuracy: 0.4583333333333333%
Loss: 2.237576723098755, Accuracy: 0.47833333333333333%
Loss: 2.230661392211914, Accuracy: 0.5066666666666667%
Loss: 2.2133963108062744, Accuracy: 0.54%
Loss: 2.207639455795288, Accuracy: 0.575%
Loss: 2.206249952316284, Accuracy: 0.6133333333333333%
Loss: 2.1601674556732178, Accuracy: 0.6566666666666666%
Loss: 2.1503725051879883, Accuracy: 0.7033333333333334%
Loss: 2.1626203060150146, Accuracy: 0.745%
Loss: 2.146838426589966, Accuracy: 0.7816666666666666%
Loss: 2.189481496810913, Accuracy: 0.8166666666666667%
Loss: 2.1557464599609375, Accuracy: 0.8583333333333333%
Loss: 2.144002914428711, Accuracy: 0.895%
Loss: 2.07707142829895, Accuracy: 0.95%
Loss: 2.1119730472564697, Accuracy: 0.9983333333333333%
Loss: 2.115065574645996, Accuracy: 1.0383333333333333%
Loss: 2.0991811752319336, Accuracy: 1.0883333333333334%
Loss: 2.135105848312378, Accuracy: 1.1266666666666667%
Loss: 2.085313320159912, Accuracy: 1.175%
Loss: 2.0895588397979736, Accuracy: 1.215%
Loss: 2.0646328926086426, Accuracy: 1.2566666666666666%
Loss: 2.087754726409912, Accuracy: 1.3033333333333332%
Loss: 2.0895748138427734, Accuracy: 1.3433333333333333%
Loss: 2.091827630996704, Accuracy: 1.3866666666666667%
Loss: 2.0114846229553223, Accuracy: 1.4416666666666667%
Loss: 2.0308187007904053, Accuracy: 1.505%
Loss: 2.042389392852783, Accuracy: 1.5683333333333334%
Loss: 2.030409812927246, Accuracy: 1.6216666666666666%
Loss: 2.005253791809082, Accuracy: 1.68%
Loss: 2.0214123725891113, Accuracy: 1.73%
Loss: 1.9629613161087036, Accuracy: 1.795%
Loss: 2.055149793624878, Accuracy: 1.8416666666666666%
Loss: 1.9523674249649048, Accuracy: 1.9016666666666666%
Loss: 1.9725868701934814, Accuracy: 1.9583333333333333%
Loss: 1.9598091840744019, Accuracy: 2.02%
Loss: 1.9307708740234375, Accuracy: 2.075%
Loss: 1.8595644235610962, Accuracy: 2.131666666666667%
Loss: 1.9046391248703003, Accuracy: 2.183333333333333%
Loss: 1.9033851623535156, Accuracy: 2.2416666666666667%
Loss: 1.9219788312911987, Accuracy: 2.29%
Loss: 1.8954553604125977, Accuracy: 2.3583333333333334%
Loss: 1.9117473363876343, Accuracy: 2.4183333333333334%
Loss: 1.911935567855835, Accuracy: 2.4716666666666667%
Loss: 1.879929542541504, Accuracy: 2.525%
Loss: 1.837481141090393, Accuracy: 2.5933333333333333%
Loss: 1.8162286281585693, Accuracy: 2.651666666666667%
Loss: 1.8500486612319946, Accuracy: 2.7116666666666664%
Loss: 1.8159937858581543, Accuracy: 2.776666666666667%
Loss: 1.8371410369873047, Accuracy: 2.8366666666666664%
Loss: 1.871192216873169, Accuracy: 2.8916666666666666%
Loss: 1.7194479703903198, Accuracy: 2.9616666666666664%
Loss: 1.7030038833618164, Accuracy: 3.033333333333333%
Loss: 1.7381657361984253, Accuracy: 3.098333333333333%
Loss: 1.7533094882965088, Accuracy: 3.158333333333333%
Loss: 1.726441740989685, Accuracy: 3.225%
Loss: 1.766634225845337, Accuracy: 3.29%
Loss: 1.676387071609497, Accuracy: 3.3566666666666665%
Loss: 1.76310133934021, Accuracy: 3.4183333333333334%
Loss: 1.6497448682785034, Accuracy: 3.493333333333333%
Loss: 1.656043291091919, Accuracy: 3.555%
Loss: 1.6576308012008667, Accuracy: 3.6233333333333335%
Loss: 1.5621510744094849, Accuracy: 3.6983333333333333%
Loss: 1.6411107778549194, Accuracy: 3.765%
Loss: 1.5613762140274048, Accuracy: 3.828333333333333%
Loss: 1.628084659576416, Accuracy: 3.8833333333333333%
Loss: 1.534692645072937, Accuracy: 3.955%
Loss: 1.5681332349777222, Accuracy: 4.026666666666666%
Loss: 1.5776549577713013, Accuracy: 4.086666666666667%
Loss: 1.5489023923873901, Accuracy: 4.155%
Loss: 1.5967844724655151, Accuracy: 4.208333333333333%
Loss: 1.5619277954101562, Accuracy: 4.285%
Loss: 1.548680067062378, Accuracy: 4.355%
Loss: 1.555275559425354, Accuracy: 4.425%
Loss: 1.4522103071212769, Accuracy: 4.493333333333333%
Loss: 1.3563287258148193, Accuracy: 4.5616666666666665%
Loss: 1.3549998998641968, Accuracy: 4.638333333333334%
Loss: 1.4528902769088745, Accuracy: 4.701666666666667%
Loss: 1.420238733291626, Accuracy: 4.773333333333333%
Loss: 1.4610595703125, Accuracy: 4.841666666666667%
Loss: 1.398324728012085, Accuracy: 4.906666666666666%
Loss: 1.3716518878936768, Accuracy: 4.985%
Loss: 1.4018511772155762, Accuracy: 5.058333333333334%
Loss: 1.1999754905700684, Accuracy: 5.1433333333333335%
Loss: 1.2285164594650269, Accuracy: 5.2283333333333335%
Loss: 1.366647481918335, Accuracy: 5.31%
Loss: 1.357086181640625, Accuracy: 5.385%
Loss: 1.5787245035171509, Accuracy: 5.435%
Loss: 1.3215569257736206, Accuracy: 5.506666666666667%
Loss: 1.3820806741714478, Accuracy: 5.57%
Loss: 1.2755833864212036, Accuracy: 5.641666666666667%
Loss: 1.3274238109588623, Accuracy: 5.711666666666667%
Loss: 1.274401307106018, Accuracy: 5.786666666666667%
Loss: 1.4734681844711304, Accuracy: 5.851666666666667%
Loss: 1.501856803894043, Accuracy: 5.913333333333333%
Loss: 1.4851051568984985, Accuracy: 5.986666666666666%
Loss: 1.3380520343780518, Accuracy: 6.06%
Loss: 1.4372483491897583, Accuracy: 6.133333333333334%
Loss: 1.381994366645813, Accuracy: 6.201666666666667%
Loss: 1.2423808574676514, Accuracy: 6.278333333333333%
Loss: 1.3597248792648315, Accuracy: 6.35%
Loss: 1.244883418083191, Accuracy: 6.418333333333333%
Loss: 1.3236534595489502, Accuracy: 6.49%
Loss: 1.1615251302719116, Accuracy: 6.565%
Loss: 1.162999153137207, Accuracy: 6.636666666666667%
Loss: 1.1983294486999512, Accuracy: 6.701666666666667%
Loss: 1.2207173109054565, Accuracy: 6.7683333333333335%
Loss: 1.125531554222107, Accuracy: 6.846666666666667%
Loss: 1.110341191291809, Accuracy: 6.931666666666667%
Loss: 1.4078871011734009, Accuracy: 7.0%
Loss: 1.1136207580566406, Accuracy: 7.075%
Loss: 1.0791471004486084, Accuracy: 7.153333333333333%
Loss: 1.2875628471374512, Accuracy: 7.221666666666667%
Loss: 1.1819465160369873, Accuracy: 7.29%
Loss: 0.9346295595169067, Accuracy: 7.373333333333333%
Loss: 0.9331129193305969, Accuracy: 7.451666666666667%
Loss: 1.2277722358703613, Accuracy: 7.5183333333333335%
Loss: 1.3820480108261108, Accuracy: 7.581666666666667%
Loss: 1.177046537399292, Accuracy: 7.651666666666666%
Loss: 1.3386543989181519, Accuracy: 7.715%
Loss: 0.9397850632667542, Accuracy: 7.796666666666667%
Loss: 1.0274258852005005, Accuracy: 7.873333333333333%
Loss: 0.9821835160255432, Accuracy: 7.958333333333333%
Loss: 1.0714294910430908, Accuracy: 8.038333333333334%
Loss: 0.9869029521942139, Accuracy: 8.113333333333333%
Loss: 1.1996203660964966, Accuracy: 8.183333333333334%
Loss: 1.0294893980026245, Accuracy: 8.255%
Loss: 1.0118387937545776, Accuracy: 8.33%
Loss: 1.0326449871063232, Accuracy: 8.406666666666666%
Loss: 0.8858909606933594, Accuracy: 8.49%
Loss: 1.196519136428833, Accuracy: 8.563333333333333%
Loss: 0.9724199771881104, Accuracy: 8.643333333333333%
Loss: 0.807440996170044, Accuracy: 8.73%
Loss: 1.1007734537124634, Accuracy: 8.806666666666667%
Loss: 0.9159301519393921, Accuracy: 8.885%
Loss: 0.8199518322944641, Accuracy: 8.968333333333334%
Loss: 0.8646613359451294, Accuracy: 9.051666666666666%
Loss: 0.8437433838844299, Accuracy: 9.131666666666666%
Loss: 1.0600913763046265, Accuracy: 9.21%
Loss: 0.9129155278205872, Accuracy: 9.29%
Loss: 1.0604733228683472, Accuracy: 9.358333333333333%
Loss: 0.9629273414611816, Accuracy: 9.43%
